baseline,qkd_availability,device_count,payload_class,network_load,total_runs,success_rate,failure_rate,mean_latency_ms,median_latency_ms,stdev_latency_ms,p95_latency_ms,mean_ke_latency_ms,mean_auth_latency_ms,mean_enc_latency_ms,mode_distribution
B1,100,10,MEDIUM,nominal,5,1.0,0.0,5.660851520281857,5.687933390927844,0.3796680914904534,6.081997066319654,0.12370000185910612,0.21039999992353842,0.05148000345798209,CLASSICAL:5
B1,100,1000,MEDIUM,nominal,5,1.0,0.0,5.185771984786035,5.326659880995073,1.5518342388049917,6.814889643363021,0.08524000004399568,0.18272000015713274,0.03626000107033178,CLASSICAL:5
B1,50,10,MEDIUM,nominal,5,1.0,0.0,4.949684533204188,5.09328336884648,1.4967728444663941,6.67534747948066,0.12488000065786764,0.21640000049956143,0.06766000005882233,CLASSICAL:5
B1,50,1000,MEDIUM,nominal,5,1.0,0.0,4.803609399522243,5.041851962693424,1.2391179182443979,5.93779506282853,0.07975999906193465,0.162980001186952,0.050400001055095345,CLASSICAL:5
B1,0,10,MEDIUM,nominal,5,1.0,0.0,4.855946189481069,4.739236106249093,1.1671851472728598,6.76733889374949,0.08344000088982284,0.15752000181237236,0.029459998768288642,CLASSICAL:5
B1,0,1000,MEDIUM,nominal,5,1.0,0.0,5.243476362989975,4.596415328670095,1.3490297655573718,6.752540812870388,0.08132000220939517,0.15657999902032316,0.02469999744789675,CLASSICAL:5
B2,100,10,MEDIUM,nominal,5,1.0,0.0,7.052511520363031,7.021197058309535,0.8914307013859001,8.270022711228346,0.5041600015829317,1.2315600019064732,0.04152000183239579,PQC_ONLY:5
B2,100,1000,MEDIUM,nominal,5,1.0,0.0,6.756071978695465,7.448289635147265,1.7526379426989467,8.618659882233267,0.6385599976056255,1.2043999988236465,0.03155999875161797,PQC_ONLY:5
B2,50,10,MEDIUM,nominal,5,1.0,0.0,6.085404528567803,6.113683360676825,1.7778879577875306,8.056665304898289,0.467959999514278,1.0391399991931394,0.03755999787244946,PQC_ONLY:5
B2,50,1000,MEDIUM,nominal,5,1.0,0.0,6.095529402654206,6.046851968227808,1.112889236842921,7.2783950626498095,0.6092400013585575,0.9498400002485141,0.025980002828873694,PQC_ONLY:5
B2,0,10,MEDIUM,nominal,5,1.0,0.0,6.131826191257455,6.4530803572909505,1.260074886754164,7.48073889806468,0.6631199983530678,0.8432400034507737,0.03994000144302845,PQC_ONLY:5
B2,0,1000,MEDIUM,nominal,5,1.0,0.0,6.1332163669031505,5.763996105314867,1.3263876014763074,7.503064753379406,0.4655200013075955,0.6619200023123994,0.024899998970795423,PQC_ONLY:5
B3,100,10,MEDIUM,nominal,5,1.0,0.0,7.245051522534912,7.257193610905808,0.19619717662076008,7.489310849703933,0.6131400034064427,1.3185400035581551,0.038100000529084355,QKD_ONLY:5
B3,100,1000,MEDIUM,nominal,5,1.0,0.0,6.319971984582727,6.583959886813324,1.68381609270315,8.192019540451849,0.6601800007047132,0.7427600008668378,0.03547999949660152,QKD_ONLY:5
B3,50,10,MEDIUM,nominal,5,0.8,0.2,6.627339342815047,5.673350594300996,2.978321142097163,10.955347465946215,0.6487250011559809,1.6826749997562729,0.044200001866556704,QKD_ONLY:5
B3,50,1000,MEDIUM,nominal,5,0.6,0.4,6.289174371119704,6.062451956046668,0.6579521852799417,7.0305075429924,0.6942666708103692,0.8347999949667914,0.019733330797559272,QKD_ONLY:5
B3,0,10,MEDIUM,nominal,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QKD_ONLY:5
B3,0,1000,MEDIUM,nominal,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QKD_ONLY:5
B4,100,10,MEDIUM,nominal,5,1.0,0.0,7.735671517060245,7.509210826609368,0.7459482807313459,9.05009706049712,1.2019200003123842,1.2227200000779703,0.035760001628659666,HYBRID:5
B4,100,1000,MEDIUM,nominal,5,1.0,0.0,7.081271984013503,7.034659898965407,1.1820591969501655,8.454189640258736,1.2001600014627911,0.9693400003015995,0.030219998734537512,HYBRID:5
